Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","CAPC3216X229N",126.499725,-99.721300,-90.000000,top
"C2","4.7uF","CAPC3216X229N",135.643725,-98.231100,0.000000,top
"C3","0.47uF","CAPC1608X90",134.624725,-100.571300,-90.000000,top
"C4","4.7uF","CAPC3216X229N",121.292725,-101.371300,-90.000000,top
"C5","4.7uF","CAPC3216X229N",126.347325,-103.006300,0.000000,top
"C6","0.47uF","CAPC1608X90",128.374725,-106.746300,90.000000,top
"C7","4.7uF","CAPC3216X229N",139.749725,-101.146300,90.000000,top
"C8","4.7uF","CAPC3216X229N",148.318325,-103.133300,90.000000,top
"C9","4.7uF","CAPC3216X229N",143.549725,-104.121300,180.000000,top
"C10","4.7uF","CAPC3216X229N",151.024725,-103.996300,90.000000,top
"C11","4.7uF","CAPC3216X229N",150.799725,-108.321300,90.000000,top
"C16_Vcap4","1uF","CC0603JRX7R7BB105",137.299725,-130.744000,-90.000000,top
"C17","0.1uF","CL10B104JB8NNNC",134.296925,-130.671300,0.000000,top
"C18","10uF","C1206C106J8RACTU",134.346927,-132.271300,0.000000,top
"C19","4.7nf","50MU472KY11608",126.650225,-127.696300,180.000000,top
"C20","4.7nf","50MU472KY11608",126.674725,-126.146300,0.000000,top
"C21","4.7nf","50MU472KY11608",126.699725,-124.646300,0.000000,top
"C22","4.7nf","50MU472KY11608",126.550225,-122.971300,0.000000,top
"C23","4.7nf","50MU472KY11608",126.524225,-121.371300,0.000000,top
"C24","4.7nf","50MU472KY11608",126.524225,-119.596300,0.000000,top
"C25","4.7nf","50MU472KY11608",126.424225,-117.921300,0.000000,top
"C26","4.7nf","50MU472KY11608",132.524225,-107.871300,0.000000,top
"C27","1.5nf","C0603C152F1GACTU",125.399725,-112.724099,90.000000,top
"C28","1uF","CC0603JRX7R7BB105",134.774725,-112.671300,90.000000,top
"C29","0.1uF","CL10B104JB8NNNC",136.099725,-112.721300,90.000000,top
"C30","0.01uF","C0603C103F3GECAUTO",132.752524,-114.471300,0.000000,top
"C31","0.1uF","CL10B104JB8NNNC",132.777525,-112.796300,0.000000,top
"C32","0.01uF","C0603C103F3GECAUTO",139.527524,-112.721300,0.000000,top
"C33","0.1uF","CL10B104JB8NNNC",139.577525,-113.746300,0.000000,top
"C34","0.01uF","C0603C103F3GECAUTO",141.699725,-116.118501,90.000000,top
"C35","0.1uF","CL10B104JB8NNNC",142.724725,-116.093500,90.000000,top
"CC14_Vcap2","1uF","CC0603JRX7R7BB105",139.099725,-130.696300,-90.000000,top
"D1_power1","D","RESC1005X38N",111.194725,-94.846300,0.000000,top
"D2_ADS1","D","RESC1005X38N",132.194725,-138.221300,180.000000,top
"J2","Conn_01x10","PPPC101LFBN-RC",118.391125,-113.646770,90.000000,top
"R1_power1","1K","RC1608F102CS",111.146925,-96.371300,180.000000,top
"R2","24.9K","ERJ-3EKF2492V",136.024725,-100.644100,90.000000,top
"R3","33.2K","ERJ-3EKF3322V",127.058525,-106.663900,90.000000,top
"R4","33.2K","ERJ-3EKF3322V",150.202524,-112.046300,0.000000,top
"R7LED1","1K","RC1608F102CS",132.321925,-136.396300,0.000000,top
"R8","1K","RC1608F102CS",147.399725,-111.818500,90.000000,top
"R9","10K","ERJ-PB3B1022V",147.874725,-124.396300,0.000000,top
"R10","10K","ERJ-PB3B1022V",147.874725,-125.421300,0.000000,top
"R12","5K","RESC1608X55N",122.329725,-127.771300,0.000000,top
"R13","5K","RESC1608X55N",122.429725,-126.171300,0.000000,top
"R14","5K","RESC1608X55N",122.429725,-124.646300,0.000000,top
"R15","5K","RESC1608X55N",122.524725,-122.996300,0.000000,top
"R16","5K","RESC1608X55N",122.419725,-121.396300,0.000000,top
"R17","5K","RESC1608X55N",122.394725,-119.646300,0.000000,top
"R18","5K","RESC1608X55N",122.444725,-117.746300,0.000000,top
"R19","5K","RESC1608X55N",122.419725,-116.271300,0.000000,top
"R20","5K","RESC1608X55N",122.954725,-113.371300,0.000000,top
"R21","1M","ERJ-3EKF1004V",126.949725,-112.743501,-90.000000,top
"R22","10K","ERJ-PB3B1022V",144.574725,-110.396300,180.000000,top
"R23","0K","CRCW06030000Z0EAHP",130.221926,-129.521300,0.000000,top
"R33","5K","RESC1608X55N",127.054725,-114.946300,180.000000,top
"U1","LT3042xMSE","MSOP-10_MSE",130.589125,-99.850340,0.000000,top
"U2","LT3042xMSE","MSOP-10_MSE",123.174725,-105.371300,0.000000,top
"U3","M08A","SP6661EU-L&slash_TR",143.777375,-101.146299,0.000000,top
"U4","LT3094xMSE","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",146.543925,-107.323100,0.000000,top
"U5","ADS1299IPAG","ADS1299IPAG",136.421225,-122.346300,0.000000,top
